Front,Back,Tags
长 context 中间塌陷的 4 个叠加原因？,训练分布（重要信息多在首尾）+ 位置编码几何偏差 + softmax 稀释 + attention sink 效应。,science-02
"宣称 context"和"有效 context"的差距？,RULER：宣称 ≥32K 的模型只有一半能真正用到 32K。Gemini 1.5 1M 实测有效 >128K。,science-02
长 context 能替代 RAG 吗？,不能。中间塌陷 + 成本线性涨 + 延迟高。RAG + Rerank 仍是必要的。,science-02
Outlier features 是什么，为什么毁掉量化？,少数激活维度值极大（±100+），其他维度都在 ±1 以内。int8 只有 256 级，覆盖 outlier 就丢普通值精度。,science-03
GPTQ 和 AWQ 的核心思想分别是？,GPTQ 用 Hessian 信息决定哪些权重重要并补偿误差；AWQ 认为激活大的维度对应权重更重要，保护这些。,science-03
量化静默降级的典型症状？,整体 eval 通过但某类任务崩（数字/结构化输出对量化特别敏感）。必须按任务类型分桶监控。,science-03
同样信息量，中文在 GPT tokenizer 下的 token 数比 Qwen 多多少？,~2-3×（GPT 对中文每字 1.5-2 token，Qwen 每字 0.6-1 token）。,science-04
LLM 数学差的根因？,Tokenization 不稳定——"17234" 可能切成 [17,234] 也可能 [1,7,2,3,4]。数字不是位值表示。,science-04
Opus 4.7 换 tokenizer 对账单的影响？,同样内容 token 数比 Sonnet 4.6 多约 35%（1.35× 体积，源自 1M context 对应 ~555k 词 vs Sonnet 4.6 的 ~750k 词）。单价相同时实际成本高 ~35%。,science-04
训练三段是哪三段？,Pre-training（世界知识）/ Mid-training（聚焦能力提升）/ Post-training（对齐）。,shared-lang-01
SFT 和 RLHF/DPO 的区别？,SFT 教格式（被问就答），RLHF/DPO 教偏好（两个都对的回答里选更好的）。,shared-lang-01
Loss spike 的 SRE 处理流程？,暂停 → 检查最近数据批次 → 从最近 checkpoint 恢复 → Skip 可疑数据 → 继续。,shared-lang-01
Model card 至少要看哪 5 项？,Training data（含 cutoff date）/ Architecture / Recipe / Post-training / Evaluations + regressions。,shared-lang-01
ML 团队时间主要花在哪？,80% 在数据（pipeline、清洗、去重、污染检测、混合比例），不是调模型。,shared-lang-02
Pre-training data pipeline 的 7 步？,Crawl → Clean → Filter → Dedup → Decontaminate → Mix → Tokenize。,shared-lang-02
Contamination 是什么？如何检测？,训练数据混入 eval set。检测：N-gram 匹配、canary tokens、private eval。,shared-lang-02
Annealing mix 是什么？,训练末期 10-20% steps 用更高质量、更聚焦的数据混合（数学、代码比例拉高）。近因效应。,shared-lang-02
pass@k 的含义？,让模型对同一题生成 k 次，至少一次通过的概率。pass@1 才代表单次可用。,shared-lang-03
MMLU 为什么区分度下降？,饱和（前沿模型 85-90%，接近人类 90%），已无法区分顶级模型。替代是 MMLU-Pro / GPQA。,shared-lang-03
LM Arena Elo 是什么？,用户盲测对弈 → Elo 更新。相对分数，分差比绝对值重要。差 20 分显著，差 5 分是噪声。,shared-lang-03
Benchmark contamination 怎么识别？,某单一指标飙升而 Arena / private eval 不动 + 强项不合理集中 → 大概率刷榜。,shared-lang-03
HHH 三原则？,Helpful / Honest / Harmless。对齐的三目标。,shared-lang-04
DPO 相比 RLHF 的优势？,不训 Reward Model，直接用偏好对比做训练。简单 100×、稳定、效果接近。,shared-lang-04
Reward hacking 是什么？举一个例子？,Policy 找到 Reward Model 的漏洞获得高分但实际不是好回答。例：RM 偏好长回答 → Policy 学会啰嗦。,shared-lang-04
Jailbreak 和 Prompt Injection 的区别？,Jailbreak 是让模型说违规内容；Prompt Injection 是让 Agent 做违规动作。对 SRE 后者更严重。,shared-lang-04
FSDP / ZeRO-3 的核心思想？,把模型参数、梯度、优化器状态都切片到不同 GPU，forward/backward 时临时 gather。兼得 DP 简单和 TP 省显存。,shared-lang-05
训练和推理集群的网络要求差异？,训练必须 InfiniBand / NVLink（每 step 传数百 GB）；推理 Ethernet 足够。,shared-lang-05
Checkpoint 的 SRE 关键指标？,写耗时、写失败率、存储容量趋势、最近 checkpoint 年龄、跨区复制延迟。,shared-lang-05
MFU（Model FLOPs Utilization）目标？,实际 FLOPs / 峰值 FLOPs，60-70% 是生产目标。低于 50% = 效率问题。,shared-lang-05
B1 动作的核心提问是什么？,"我错在'不知道'还是'没想到'？"——前者补知识，后者是思维钝化信号。,training
B2 动作的三步？,自己写初稿（不许 AI 写）→ AI 挑错（不许重写）→ 自己改。,training
B3 渐进节奏？,第 1 月每周 45min → 第 2-3 月每周 90min → 第 4 月+ 每月 3-4 小时。,training
每月自检的 3 问题？,(1) 有没有自己想通本想问 AI 的问题？(2) B3 有没有完成？(3) B1 方向感有没有提升？,training
